,SOC 2018 CODE,SOC 2018 CODE_with_x,SOC 2018 CODE_with_xx,OCCUPATION,OCC_CODE,TOT_EMP,H_MEAN,A_MEAN,O_GROUP,I_GROUP,"Percent of workers, reaching at or below the shoulder is required","Percent of workers, choice of sitting or standing is allowed","Percent of workers, reaching at or below the shoulder is required, both hands","Percent of workers, fine manipulation is required, both hands","Percent of workers, reaching overhead is required, one hand","Percent of workers, reaching overhead is required, both hands","Hours of standing, mean",PCT_STAND,"Hours of sitting, mean",PCT_SIT,STANDING_BOOLEAN,SITTING_BOOLEAN,"Percent of workers, choice of sitting or standing is not allowed","Percent of workers, with the ability to pause work","Percent of workers, fine manipulation is required, one hand","Percent of workers, exposed to very loud noise","Percent of workers, hearing over the telephone is required","Percent of workers, exposed to outdoors","Percent of workers, low postures are required","Percent of workers, exposed to wetness","Percent of workers, reaching overhead is required","Percent of workers, stooping is required","Percent of workers, foot or leg controls is required","Percent of day where standing is required, mean","Percent of day where sitting is required, mean","Percent of workers, problem solving is required once per day","Percent of workers, problem solving is required less often than monthly, including never","Percent of workers, crawling is required","Percent of workers, kneeling is required","Percent of workers, crouching is required","Percent of workers, keyboarding is required","Percent of workers, driving is required","Percent of workers, with telework available","Percent of workers, minimum education level is a bachelor's degree","Percent of workers, gross manipulation is required","Percent of workers, fine manipulation is required","Percent of workers, working around crowds is required","Percent of workers, exposed to extreme cold","Percent of workers, exposed to extreme heat","Percent of workers, speaking is required","Percent of workers, exposed to heights","Percent of workers, in proximity to moving mechanical parts","Percent of workers, climbing ladders, ropes, or scaffolds is required","Percent of workers, exposed to hazardous contaminants","Percent of workers, exposed to loud noise","Percent of workers, without the ability to pause work","Percent of workers, lifting or carrying > 25 lbs is required, constantly","Percent of workers, problem solving is required not every week, but at least once per month","Percent of workers, problem solving is required not every day, but at least once per week",dots,OCC_SHORT,INJURY_RATE,nonwhite_pct,white_pct,black_pct,hisp_pct,asian_pct,noncitizen_pct,n
68,253099,25309X,2530XX,"Teachers and instructors, all other",253099,118290,*,70340,detailed,cross-industry,45.6,80.7,24.5,42.7,20.1,6.7,3.34,41.75,3.46,43.25,1,1,19.3,31.8,57.3,<0.5,93.2,15,27.8,8.2,26.8,<0.5,2.7,49.3,50.7,26.7,,<0.5,<0.5,<0.5,>99.5,2.7,<5,,>99.5,>99.5,<5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,68.2,<0.5,<0.5,20.5,3,Other Teachers,,33.2964890,66.7035110,9.2515875,14.6918611,14.2735687,7.300793302,222
52,131032,13103X,1310XX,"Insurance appraisers, auto damage",131032,8670,36.37,75660,detailed,cross-industry,93.7,,,,,,,,,,,,,>99.5,,<0.5,>99.5,98.2,97.5,<0.5,,,98.3,46.9,53.1,,,<20,,,>99.5,98.4,,,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<5,,<5,<0.5,<0.5,<0.5,,,1,Auto Damage Appraisers,30.9,28.2138569,71.7861431,16.6249068,12.0121800,4.0529456,2.319164802,440
41,533033,53303X,5330XX,Light truck drivers,533033,1003960,22.16,46090,detailed,cross-industry,97.5,0.6,96.4,72.5,3.7,79.8,3.65,45.625,4.28,53.5,1,53.5,99.4,24.4,27.5,<0.5,,90.8,93.7,5.2,83.5,11.3,>99.5,46,54,<0.5,97.9,<5,2.9,11.7,10.9,>99.5,<0.5,<0.5,>99.5,>99.5,<5,2.3,<0.5,98,6.8,2.4,4.9,<5,<20,75.6,<0.5,1.9,<0.5,21,Light Truck Drivers,248.9,28.7510063,71.2489937,16.5163042,20.9147077,2.5653892,8.16960067,29
54,516031,51603X,5160XX,Sewing machine operators,516031,116130,16.83,35000,detailed,cross-industry,85.5,16.8,84.5,95.6,1.1,5.6,2.74,34.25,5.56,69.5,1,69.5,83.2,60.3,4.4,<0.5,20.1,<20,22.5,<5,6.7,7.5,68.4,33.1,66.9,<0.5,99.1,<0.5,<0.5,<0.5,5.6,<0.5,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,79.8,<0.5,56.2,<0.5,<5,20.8,39.7,<0.5,<0.5,<0.5,3,Sewing Machine Operators,71.9,38.1991909,61.8008091,10.7074658,33.1862326,12.3149935,23.54464985,227
33,211099,21109X,2110XX,"Community and social service specialists, all other",211099,95310,25.97,54020,detailed,cross-industry,64.4,93.1,48.6,54.8,,,2.43,30.375,5,62.5,1,62.5,6.9,97.6,45.2,<0.5,>99.5,48.4,10.4,<15,12,1.5,47.4,32.5,67.5,12.4,38.6,<5,,<0.5,>99.5,47.4,34.1,,>99.5,>99.5,<25,<0.5,<0.5,>99.5,<5,<0.5,<5,<5,<0.5,2.4,<0.5,5.5,30.3,2,Social Service Specialists,75.5,32.9906406,67.0093594,18.2908090,17.7104703,4.0771913,3.294046068,255
90,434071,43407X,4340XX,File clerks,434071,82290,19.58,40730,detailed,cross-industry,61.8,74,46.3,71.6,13.1,16.1,2.03,25.375,5.32,66.5,1,66.5,26,90.8,28.4,<0.5,68.3,<5,43.6,<5,29.2,17,6,27.2,72.8,2.3,83.3,<0.5,,,82.7,6,1.4,<5,>99.5,>99.5,<0.5,<0.5,<0.5,94.4,<0.5,<0.5,<0.5,<5,<0.5,9.2,<0.5,,<5,2,File Clerks,36.8,27.7123714,72.2876286,13.3831271,17.2080516,5.2287970,3.523149057,275
22,434051,43405X,4340XX,Customer service representatives,434051,2858710,20.92,43520,detailed,cross-industry,40.8,71.5,32.6,40.6,<0.5,<10,1.1,13.75,6.66,83.25,1,83.25,28.5,52.7,55.6,<0.5,99.5,3.1,10.9,1.5,4.9,4,1.8,16,84,3.9,83.2,<0.5,<0.5,1.6,97.6,1.6,24.4,2.2,96.8,96.3,<0.5,<0.5,<0.5,>99.5,<0.5,<5,<0.5,<5,0.7,47.3,<0.5,3.7,4,58,Customer Service Reps,28.1,32.8784754,67.1215246,17.8193160,19.1163936,4.2047099,4.687160019,7
20,436014,43601X,4360XX,"Secretaries and administrative assistants, except legal, medical, and executive",436014,1785430,21.87,45490,detailed,cross-industry,59.6,94.1,42.5,,2.6,7.5,1.04,13,6.69,83.625,1,83.625,5.9,84.5,54.8,<0.5,>99.5,4.5,19.4,0.8,10.2,4,10.2,13.4,86.6,0.6,84.4,<0.5,<0.5,<0.5,>99.5,10.2,8.1,2.7,>99.5,>99.5,0.6,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,15.5,<0.5,7.9,6.6,36,Administrative Assistants,24.5,21.5767932,78.4232068,8.5346147,13.6219112,3.1738376,3.314066041,12
31,173011,17301X,1730XX,Architectural and civil drafters,173011,111070,31.25,65000,detailed,cross-industry,25.4,95.4,,49.9,<0.5,5.9,0.93,11.625,6.89,86.125,1,86.125,4.6,>99.5,50.1,<0.5,>99.5,8.1,5.1,<0.5,5.9,<0.5,6.4,11.6,88.4,18.5,18.3,<0.5,<0.5,<0.5,>99.5,6.4,57.9,21.1,>99.5,>99.5,<5,<0.5,<0.5,>99.5,3.8,<0.5,3.8,<5,<0.5,<0.5,<0.5,24.5,5.9,3,Architectural Drafters,11,19.4760519,80.5239481,4.9185349,13.1982727,7.9030381,5.307484993,233
96,433021,43302X,4330XX,Billing and posting clerks,433021,430220,22.66,47120,detailed,cross-industry,40.3,94.3,31,,0.7,4.8,0.7,8.75,6.99,87.375,1,87.375,5.7,97,54.1,<0.5,>99.5,<0.5,8.7,1.6,5.5,<0.5,1.5,9.2,90.8,5.5,71.7,<0.5,<0.5,<0.5,>99.5,1.4,28.4,2.4,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,3,<0.5,8.9,11.8,9,Billing Clerks,25,24.1033795,75.8966205,12.0674576,15.6501650,4.7716590,3.536930528,77
77,132099,13209X,1320XX,"Financial specialists, all other",132099,122730,43.1,89650,detailed,cross-industry,26.1,>99.5,19,25.1,<0.5,<5,,,,,,,<0.5,,74.9,<0.5,>99.5,4.8,13.5,<0.5,<5,<0.5,16.8,,,,,<0.5,<0.5,<0.5,>99.5,16.8,,72.3,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,,,,,3,Financial Specialists,13,25.9553827,74.0446173,8.4681649,8.9666624,11.9167704,5.208909742,212
93,518012,51801X,5180XX,Power distributors and dispatchers,518012,9040,50.7,105460,detailed,cross-industry,,65.9,,61,,,,,,,,,34.1,,,,>99.5,10,13.2,<0.5,,,15.9,,,,,,,,>99.5,17.9,,1.8,>99.5,>95,<0.5,<0.5,<0.5,>99.5,9.3,<5,13.1,<5,,,,,,1,Power Distributors,37.6,15.4631816,84.5368184,7.3831051,7.8452871,2.1709061,1.830173403,436
60,391014,39101X,3910XX,"First-line supervisors of entertainment and recreation workers, except gambling services",391014,88140,24.35,50650,detailed,cross-industry,70.6,55.6,69,55.4,2.2,44.7,,,,,,,44.4,86.5,44.6,<0.5,93.6,58,41.3,22.1,46.9,7.9,32.9,,,12.1,22.7,<0.5,<10,5.4,91.9,28.8,3.5,24.8,>99.5,>99.5,21.9,<0.5,<0.5,>99.5,<5,<5,8.3,<5,<20,13.5,<0.5,21.1,39.7,2,Recreation Supervisors,,30.3314200,69.6685800,11.6606227,14.1313409,9.2524280,5.691717727,264
89,212011,21201X,2120XX,Clergy,212011,56640,30.64,63720,detailed,cross-industry,51.6,,,40.8,,,,,,,,,,87.1,59.2,<0.5,>99.5,28.4,39.9,16.6,39.5,,41.4,,,23.7,12.9,<0.5,12.6,,>95,40.7,12.1,18.6,>99.5,>99.5,28.7,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,12.9,,14.7,15.3,2,Clergy,64.5,20.6186437,79.3813563,10.6227663,7.8589154,5.1218330,5.268517313,321
37,211022,21102X,2110XX,Healthcare social workers,211022,185020,32.42,67430,detailed,cross-industry,49.2,82.2,38.2,39.4,<5,<10,,,,,,,17.8,84.5,60.6,<0.5,>99.5,5.1,17.4,13.1,6.3,10.8,20.4,,,,,<0.5,<0.5,4.8,>99.5,19.7,13.2,51.1,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,15.5,<0.5,,,4,Healthcare Social Workers,143.5,33.3487115,66.6512885,23.5153055,13.8380403,2.6617495,3.075438529,156
66,434111,43411X,4341XX,"Interviewers, except eligibility and loan",434111,160550,20.55,42750,detailed,cross-industry,58.8,67.1,38.4,37.9,<0.5,17.6,,,,,,,32.9,61.7,62.1,<0.5,>95,9.5,5.4,7.8,17.6,<10,22.7,,,<10,81.5,<0.5,<0.5,<0.5,>95,21.3,6.6,4.2,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<5,<0.5,38.3,<0.5,3.1,10.9,4,Interviewers,76.8,33.9828509,66.0171491,20.5508589,16.7015393,3.1485342,2.978914898,176
78,351011,35101X,3510XX,Chefs and head cooks,351011,172370,30.12,62640,detailed,cross-industry,91.8,14.7,91.3,81.8,10,73.5,7.3,91.25,1.02,12.75,91.25,1,85.3,48,18.2,<0.5,84.4,7.1,79.4,94.8,83.6,23.2,4.8,87.6,12.4,11.5,19.3,<0.5,5.3,11.1,73.3,4.7,<0.5,6.1,>99.5,>99.5,0.5,64.7,69.2,>99.5,<0.5,19.9,<0.5,<5,6.5,52,<0.5,20.6,23.3,4,Chefs,178.3,44.2930980,55.7069020,12.3884428,23.1879971,17.1402399,19.16920458,166
84,516011,51601X,5160XX,Laundry and dry-cleaning workers,516011,185000,15.33,31880,detailed,cross-industry,>99.5,12,>99.5,87.3,8.3,36.8,7.21,90.125,0.39,4.875,90.125,1,88,70.1,<20,<0.5,16.7,5.3,85.9,83.9,45.1,31.4,4.2,94.9,5.1,<0.5,>99.5,<0.5,<5,11.6,<5,1.4,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,21.2,63.8,<0.5,0.6,<0.5,<5,6.4,29.9,<0.5,<0.5,<0.5,4,Laundry and Dry-Cleaning Workers,360.9,44.2645982,55.7354018,18.3033937,31.8540727,8.2860094,21.03852259,157
72,359099,35909X,3590XX,"Food preparation and serving related workers, all other",359099,86350,17.03,35430,detailed,cross-industry,>90,5.8,,67.1,,,6.03,75.375,0.6,7.5,75.375,1,94.2,10.8,,<0.5,,,78.8,>90,,6.8,4.2,91.9,8.1,<0.5,98,,<0.5,<15,,4.2,<0.5,<0.5,>99.5,>95,13.7,14.2,13.7,97.8,<0.5,<30,<0.5,<5,12.6,89.2,<0.5,<0.5,<5,2,Food Prep Workers (Other),124.1,37.4832664,62.5167336,10.8261984,31.8223304,8.6227129,13.26002868,265
100,393093,39309X,3930XX,"Locker room, coatroom, and dressing room attendants",393093,14720,16.63,34590,detailed,cross-industry,98.4,1.6,95.1,87.2,20.6,65.1,5.7,71.25,1.51,18.875,71.25,1,98.4,33.5,12.1,<0.5,61.8,54.7,85.3,70.3,85.8,11.4,14.4,79,21,<0.5,>99.5,<0.5,3.2,5.7,9.6,14.4,<0.5,<0.5,>99.5,99.3,0.6,<0.5,6.5,>70,<0.5,<0.5,<0.5,<5,<0.5,66.5,<0.5,<0.5,<0.5,1,Attendants,63.7,45.0529523,54.9470477,9.8319109,12.9252560,23.2727244,7.862054809,399
25,131075,13107X,1310XX,Labor relations specialists,131075,62800,45.49,94620,detailed,cross-industry,,>99.5,,,,,,,,,,,<0.5,>99.5,,<0.5,>99.5,48.9,<40,<0.5,,<40,53.4,,,,,<40,<40,<40,>99.5,54.7,,,>99.5,>99.5,<40,<40,<40,>99.5,<40,<40,<40,<40,<0.5,<0.5,,,,2,Labor Relations Specialists,6.2,27.7008674,72.2991326,14.1921931,13.9271948,5.4269904,3.832985356,306
28,492011,49201X,4920XX,"Computer, automated teller, and office machine repairers",492011,77580,23.22,48290,detailed,cross-industry,>99.5,,80,>99.5,,,4.09,51.125,3.52,44,51.125,1,,>75,<0.5,<0.5,82.9,<15,,<0.5,,10.8,,52.5,47.5,<25,,<0.5,<20,<20,>65,,,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<15,<15,<15,<35,<0.5,<25,<0.5,11,28.2,2,ATM and Office Machine Repairers,19.4,25.7959972,74.2040028,10.8543035,15.3225763,6.5245985,5.481550445,278
70,435111,43511X,4351XX,"Weighers, measurers, checkers, and samplers, recordkeeping",435111,51250,21.27,44240,detailed,cross-industry,,,,,,,3.06,38.25,3.25,40.625,1,1,,86.8,,,,11.8,,5.5,,3.9,,48.7,51.3,<0.5,95.7,<5,,,,,<0.5,<0.5,>99.5,>99.5,<0.5,<5,<0.5,,<35,,3.2,<35,,13.2,<0.5,<5,<10,2,Weighers,76.1,26.7842409,73.2157591,13.9417009,22.9091921,3.7537642,10.3827309,330
57,516062,51606X,5160XX,"Textile cutting machine setters, operators, and tenders",516062,9760,17.81,37040,detailed,cross-industry,92.8,3.3,>80,66.9,1.5,22.5,6.93,86.625,1.37,17.125,86.625,1,96.7,69.7,,<0.5,,<5,83.3,1.1,24,17.6,21.3,83.1,16.9,<0.5,99.4,<0.5,<5,18.2,23.3,19,<0.5,<0.5,>99.5,>95,<0.5,<0.5,<0.5,,<5,79.5,<5,<30,6.4,30.3,<0.5,<0.5,<5,1,Textile Cutting Operators,84,34.3444508,65.6555492,18.7393170,27.2054976,3.3767049,14.90912896,433
45,535021,53502X,5350XX,"Captains, mates, and pilots of water vessels",535021,34520,47.03,97820,detailed,cross-industry,,39.3,,64.8,,,3.88,48.5,6.38,79.75,1,79.75,60.7,,,<0.5,>90,97.5,,44.2,39.5,10,17.2,36.6,63.4,36.2,,<0.5,10,<25,,96.7,<0.5,<0.5,>99.5,>99.5,<5,<25,<25,>99.5,14.6,11.2,,<25,,,<0.5,<25,15.5,1,Ship Captains,,13.0424238,86.9575762,5.8022045,8.8215282,1.4458733,2.151799687,359
54,537063,53706X,5370XX,Machine feeders and offbearers,537063,44500,19.71,41000,detailed,cross-industry,>95,<0.5,98.6,37.8,<0.5,,8.34,104.25,,,104.25,,>99.5,<30,36.7,<25,6.4,<30,70.7,12.8,35,,18.7,97.4,,<0.5,>99.5,<0.5,,28.4,16.1,<0.5,<0.5,<0.5,>99.5,74.5,<0.5,<0.5,2.5,59.8,<5,73.4,<5,<25,27,>70,<0.5,<0.5,<0.5,1,Machine Feeders,137.9,35.7222663,64.2777337,13.5458820,25.8684007,4.4747491,10.85822554,342
77,173013,17301X,1730XX,Mechanical drafters,173013,44850,33.62,69920,detailed,cross-industry,61.5,>90,,74.2,,,0.71,8.875,7.74,96.75,1,96.75,<10,>95,,<0.5,>90,16.8,29.3,<0.5,,26.9,39.8,8.6,91.4,32.6,7.4,,28.5,28.5,>99.5,39.8,6.9,22.7,>99.5,>90,<0.5,<0.5,<20,>99.5,27,30.6,27,<20,<0.5,<5,<0.5,6.1,26.5,1,Mechanical Drafters,8.9,19.4760519,80.5239481,3.9049855,13.9072735,6.1379795,3.993118819,341
72,251053,25105X,2510XX,"Environmental science teachers, postsecondary",251053,7120,*,100910,detailed,cross-industry,35.9,78.7,34.3,67.9,,,2.62,32.75,3.71,46.375,1,1,21.3,,32.1,<0.5,93.2,33.3,<20,10.6,29.6,<0.5,<5,40.1,59.9,24.8,,<0.5,<5,<0.5,>99.5,<0.5,39.1,,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<20,<0.5,<20,<0.5,,<0.5,17.1,36.6,1,Environmental Teachers (Postsecondary),6.9,24.9792894,75.0207106,6.5677857,8.3699504,12.4399409,11.89629558,446
64,475023,47502X,4750XX,"Earth drillers, except oil and gas",475023,18010,28.97,60250,detailed,cross-industry,>99.5,<5,>99.5,,<40,>55,,,,,,,>95,<45,,,>85,>99.5,>95,,96.3,,>95,,,12.9,,,<5,<5,<25,>95,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,,<30,,,<20,,>55,<0.5,1.8,<35,1,Earth Drillers,,11.2974573,88.7025427,3.9693232,18.5848274,0.4093688,5.394341383,384
65,272022,27202X,2720XX,Coaches and scouts,272022,238980,*,58700,detailed,cross-industry,92.1,30.6,>85,61.3,9,62.3,4.2,52.5,1.52,19,52.5,1,69.4,61.8,,<10,81.7,51.7,92.1,40.9,71.3,15.9,44.5,78.1,21.9,12.4,41,0.6,9.1,12,64,43.6,3.8,19,>99.5,>95,19.9,<0.5,<0.5,>99.5,10.3,7.1,8,<15,30.2,38.2,<0.5,8.4,24,5,Coaches,,22.6159458,77.3840542,8.5066107,11.4776547,4.1739611,4.986467183,130
14,292099,29209X,2920XX,"Health technologists and technicians, all other",292099,171110,26.07,54220,detailed,cross-industry,90.9,,>65,85.8,,,4.96,62,5.33,66.625,62,66.625,,8.6,14.2,<0.5,93.1,<0.5,,,,7.2,,49,51,<0.5,,<0.5,<0.5,,>50,<10,<0.5,<20,>99.5,>99.5,<0.5,<0.5,<0.5,>99.5,<0.5,<0.5,<0.5,<15,<0.5,91.4,<0.5,<5,,4,Health Technicians,351.2,36.6462944,63.3537056,18.6523606,13.6746583,8.1815809,4.164653482,170
29,533053,53305X,5330XX,Shuttle drivers and chauffeurs,533053,204930,17.75,36920,detailed,cross-industry,88.3,2,69.4,56.2,1.9,12.2,1.7,21.25,5.26,65.75,1,65.75,98,4.9,,<0.5,74.6,90.5,61.6,18.1,14.1,29.4,>99.5,24.3,75.7,<0.5,95.9,<0.5,<5,6.4,<35,>99.5,<0.5,<0.5,>99.5,>99.5,<0.5,<0.5,<0.5,95.5,<5,<15,<15,<15,<0.5,95.1,<0.5,<0.5,<15,5,Shuttle Drivers,,27.1518742,72.8481258,19.3763710,20.9691319,6.4689752,11.12895644,145
73,172199,17219X,1721XX,"Engineers, all other",172199,150990,56.9,118350,detailed,cross-industry,,,,63.5,,,,,,,,,,>95,,<0.5,>95,7.5,,<5,,<10,,,,,,<5,<10,<10,>99.5,5.9,,93.9,>99.5,>99.5,<0.5,<0.5,<5,>99.5,8.1,9.2,6,<10,<5,<5,,,,4,Engineers (Other),8.2,21.9977908,78.0022092,4.6909983,9.5260654,12.0599249,7.970511315,190
